order,note_id,status,text,chinese_tokens,latin_tokens,new_words
1,1776876035757,KEEP,你好，我是学生,你好 | 学生 | 我 | 是,,你好 | 学生 | 我 | 是
2,1776876054070,KEEP,你好，我叫 Nathan,你好 | 叫 | 我,Nathan,叫
3,1776876430950,KEEP,我不是美国人,不是 | 人 | 我 | 美国,,不是 | 人 | 美国
4,1776878428300,KEEP,我是老师,我 | 是 | 老师,,老师
5,1776881722069,KEEP,你是中国人吗？,中国 | 人 | 你 | 吗 | 是,,中国 | 你 | 吗
6,1776881800331,KEEP,他是学生吗？,他 | 吗 | 学生 | 是,,他
7,1776881936801,KEEP,我不是医生,不是 | 医生 | 我,,医生
8,1776882056886,KEEP,老师再见,再见 | 老师,,再见
9,1777078491091,KEEP,我们是同学,同学 | 我们 | 是,,同学 | 我们
10,1777078627390,KEEP,你们是朋友吗？,你们 | 吗 | 是 | 朋友,,你们 | 朋友
11,1777078860672,KEEP,她的男朋友是医生,医生 | 她 | 是 | 男朋友 | 的,,她 | 男朋友 | 的
12,1777079181441,KEEP,我的女朋友是我同学,同学 | 女朋友 | 我 | 是 | 的,,女朋友
13,1777243976646,KEEP,这是我的朋友,我 | 是 | 朋友 | 的 | 这,,这
14,1777244017665,KEEP,那是你的老板吗？,你 | 吗 | 是 | 的 | 老板 | 那,,老板 | 那
15,1777244086177,KEEP,那是我的同事,同事 | 我 | 是 | 的 | 那,,同事
16,1777284367040,KEEP,这是谁？,是 | 谁 | 这,,谁
17,1777284557415,KEEP,你的网友是谁？,你 | 是 | 的 | 网友 | 谁,,网友
18,1777284829569,KEEP,你的邻居是谁？,你 | 是 | 的 | 谁 | 邻居,,邻居
19,1777285224389,KEEP,我的室友是中国人,中国 | 人 | 室友 | 我 | 是 | 的,,室友
